% time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (unitless)
1999047,78.75,5.734295700676739E-5,0.038842394948005676
1999047,78.85,2.429149390081875E-5,0.058235302567481995
1999047,78.95,3.6479188565863296E-5,0.08324242383241653
1999047,79.05,9.384157601743937E-5,0.02236267179250717
1999047,79.15,1.0783611287479289E-5,0.12500670552253723
1999047,79.25,8.83659868122777E-6,0.1823057383298874
1999047,79.35,8.783213161223102E-6,0.1828463077545166
1999047,79.45,8.769846317591146E-6,0.18430489301681519
1999047,79.55,8.875618732417934E-6,0.18356220424175262
1999047,79.65,1.0428365385450888E-5,0.1599288284778595
1999047,79.75,9.976321962312795E-6,0.17421039938926697
1999047,79.85,9.541191502648871E-6,0.17891496419906616
1999047,79.95,1.0202210432908032E-5,0.16803167760372162
1999047,80.05,1.3145350749255158E-5,0.1051025390625
1999047,80.15,1.3139905604475643E-5,0.10694779455661774
1999047,80.25,1.3828910596203059E-5,0.10788559913635254
1999047,80.35,1.5230742974381428E-5,0.11297224462032318
1999047,80.45,1.5782405171194114E-5,0.12222129851579666
1999047,80.55,1.5285821064026095E-5,0.12812583148479462
1999047,80.65,1.7301363186561503E-5,0.07991845160722733
1999047,80.75,1.7287995433434844E-5,0.0943765938282013
1999047,80.85,1.84975524462061E-5,0.11281287670135498
1999047,80.95,1.868184881459456E-5,0.09386011958122253
1999047,81.05,1.7634612959227525E-5,0.10547994822263718
1999047,81.15,1.7804406525101513E-5,0.1136634573340416
1999047,81.25,1.8308144717593677E-5,0.12525472044944763
1999047,81.35,1.830417022574693E-5,0.1111963614821434
1999047,81.45,1.8340590031584725E-5,0.10035652667284012
1999047,81.55,1.9639453967101872E-5,0.1026945412158966
1999047,81.65,1.996050741581712E-5,0.10266813635826111
1999047,81.75,1.9699422409757972E-5,0.10524607449769974
1999047,81.85,1.7897436919156462E-5,0.08356273174285889
1999047,81.95,1.663540751906112E-5,0.09177745133638382
1999047,82.05,2.0092780687264167E-5,0.11025235056877136
1999047,82.15,1.9112569134449586E-5,0.10424023866653442
1999047,82.25,2.0308572857175022E-5,0.11882731318473816
1999047,82.35,1.892016916826833E-5,0.09879329055547714
1999047,82.45,1.9621111277956516E-5,0.11150848120450974
1999047,82.55,2.2598891519010067E-5,0.10739761590957642
1999047,82.65,2.2357184207066894E-5,0.10515717417001724
1999047,82.75,2.2411499230656773E-5,0.10713033378124237
1999047,82.85,2.342893640161492E-5,0.09601932018995285
1999047,82.95,2.4395601940341294E-5,0.10660750418901443
1999047,83.05,2.3234166292240843E-5,0.10091335326433182
1999047,83.15,2.5130266294581816E-5,0.09393405169248581
1999047,83.25,5.1779610657831654E-5,0.07066906243562698
1999047,83.35,1.0644579015206546E-4,0.03625313937664032
1999047,83.45,9.428100020159036E-5,0.035865504294633865
1999047,83.55,1.0770664812298492E-4,0.0251117292791605
1999047,83.65,3.17901540256571E-5,0.06768003106117249
1999047,83.75,2.977292751893401E-5,0.08135845512151718
1999047,83.85,2.9909924705862068E-5,0.07963843643665314
1999047,83.95,3.0521976441377774E-5,0.08443058282136917
1999047,84.05,2.8910730179632083E-5,0.08595553040504456
1999047,84.15,2.9135948352632113E-5,0.0860353484749794
1999047,84.25,2.9670827643712983E-5,0.08523359149694443
1999047,84.35,3.0167209843057208E-5,0.08469259738922119
1999047,84.45,3.083263072767295E-5,0.08217401802539825
1999047,84.55,3.121461850241758E-5,0.08209371566772461
1999047,84.65,3.135451697744429E-5,0.08214762806892395
1999047,84.75,3.203109372407198E-5,0.0809222012758255
1999047,84.85,3.1932941055856645E-5,0.08289778977632523
1999047,84.95,3.2381714845541865E-5,0.08120827376842499
1999047,85.05,3.2769345125416294E-5,0.0808684378862381
1999047,85.15,3.319668394397013E-5,0.07939577102661133
1999047,85.25,3.317983646411449E-5,0.07932142913341522
1999047,85.35,3.344066135468893E-5,0.07943426817655563
1999047,85.45,3.514145646477118E-5,0.07378862053155899
1999047,85.55,3.45872322213836E-5,0.07441730797290802
1999047,85.65,3.5127202863804996E-5,0.07312365621328354
1999047,85.75,3.606266182032414E-5,0.07103253901004791
1999047,85.85,3.960452522733249E-5,0.06118370592594147
1999047,85.95,3.797084718826227E-5,0.06612958759069443
1999047,86.05,3.711213867063634E-5,0.06912684440612793
1999047,86.15,3.730056050699204E-5,0.06872303038835526
1999047,86.25,3.760114486794919E-5,0.0688566192984581
1999047,86.35,3.715273487614468E-5,0.07126402109861374
1999047,86.45,3.7402278394438326E-5,0.07051101326942444
1999047,86.55,3.723693225765601E-5,0.07043430209159851
1999047,86.65,3.7566409446299076E-5,0.07047446072101593
1999047,86.75,3.8256581319728866E-5,0.06861408799886703
1999047,86.85,3.925232158508152E-5,0.06571530550718307
1999047,86.95,3.8902671803953126E-5,0.06761817634105682
1999047,87.05,3.9633698179386556E-5,0.06726976484060287
1999047,87.15,4.035178790218197E-5,0.06544267386198044
1999047,87.25,4.0682152757653967E-5,0.0653577446937561
1999047,87.35,4.1374667489435524E-5,0.06455422192811966
1999047,87.45,4.183815326541662E-5,0.06353403627872467
